Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large,baseline_mape,mape_impr_pct,mape_impr_abs,grp_order
RandomForest,All_Covariates,20,5,0.8656,61.4907,80.7548,0.9205,47.71,1.6621,49.64,0.8522,-1.572,-0.0134,7
RandomForest,Baseline,120,5,0.8526,60.5931,79.8915,0.9222,47.9,1.6378,51.82,0.8526,0.0,0.0,0
RandomForest,Sig_Macro,120,5,0.8558,60.8214,80.1371,0.9217,48.28,1.644,51.82,0.8526,-0.375,-0.0032,1
RandomForest,Sig_Commodity,120,5,0.852,60.5569,79.7002,0.9226,47.9,1.6368,53.28,0.8526,0.07,0.0006,2
RandomForest,Sig_All,120,5,0.8544,60.728,80.0216,0.9219,48.47,1.6415,52.55,0.8526,-0.211,-0.0018,4
RandomForest,All_Macro,120,5,0.8701,61.7999,81.1103,0.9198,48.09,1.6704,51.09,0.8526,-2.053,-0.0175,5
RandomForest,All_Commodity_Regional,120,5,0.8525,60.5909,79.8632,0.9222,48.09,1.6378,53.28,0.8526,0.012,0.0001,6
RandomForest,All_Covariates,120,5,0.8643,61.4084,80.5775,0.9208,48.66,1.6599,51.82,0.8526,-1.372,-0.0117,7
XGBoost,Baseline,20,5,0.8538,60.6734,79.5412,0.9229,47.71,1.64,52.55,0.8538,0.0,0.0,0
XGBoost,Sig_Macro,20,5,0.8383,59.5454,78.469,0.9249,48.47,1.6095,55.47,0.8538,1.815,0.0155,1
XGBoost,Sig_Commodity,20,5,0.8361,59.398,78.7349,0.9244,48.85,1.6055,52.55,0.8538,2.073,0.0177,2
XGBoost,Sig_All,20,5,0.8263,58.6666,77.6734,0.9264,48.28,1.5858,54.74,0.8538,3.221,0.0275,4
XGBoost,All_Macro,20,5,0.8436,59.9478,78.6904,0.9245,48.47,1.6204,54.01,0.8538,1.195,0.0102,5
XGBoost,All_Commodity_Regional,20,5,0.8266,58.7647,78.3584,0.9251,47.9,1.5884,53.28,0.8538,3.186,0.0272,6
XGBoost,All_Covariates,20,5,0.8202,58.2865,77.4056,0.9269,48.28,1.5755,55.47,0.8538,3.935,0.0336,7
XGBoost,Baseline,120,5,0.8594,61.0457,80.209,0.9216,47.71,1.6501,54.74,0.8594,0.0,0.0,0
XGBoost,Sig_Macro,120,5,0.8575,60.9119,79.7366,0.9225,46.76,1.6464,49.64,0.8594,0.221,0.0019,1
XGBoost,Sig_Commodity,120,5,0.8336,59.1892,79.3729,0.9232,49.24,1.5999,54.01,0.8594,3.002,0.0258,2
XGBoost,Sig_All,120,5,0.8388,59.5564,78.9387,0.924,47.9,1.6098,54.01,0.8594,2.397,0.0206,4
XGBoost,All_Macro,120,5,0.8599,61.1516,80.2401,0.9215,47.14,1.6529,54.74,0.8594,-0.058,-0.0005,5
XGBoost,All_Commodity_Regional,120,5,0.8235,58.5494,77.9576,0.9259,48.66,1.5826,56.2,0.8594,4.177,0.0359,6
XGBoost,All_Covariates,120,5,0.8296,58.9521,78.143,0.9255,48.66,1.5935,55.47,0.8594,3.468,0.0298,7
ExtraTrees,Baseline,20,20,1.385,98.8868,141.3147,0.7587,48.75,2.6729,53.68,1.385,0.0,0.0,0
ExtraTrees,Sig_Macro,20,20,1.3899,99.2383,141.8297,0.7569,48.94,2.6824,53.68,1.385,-0.354,-0.0049,1
ExtraTrees,Sig_Commodity,20,20,1.3951,99.6195,142.91,0.7532,48.55,2.6927,54.41,1.385,-0.729,-0.0101,2
ExtraTrees,Sig_All,20,20,1.3914,99.3398,141.9343,0.7565,48.36,2.6851,53.68,1.385,-0.462,-0.0064,4
ExtraTrees,All_Macro,20,20,1.4,99.9533,143.0853,0.7526,48.75,2.7017,52.21,1.385,-1.083,-0.015,5
ExtraTrees,All_Commodity_Regional,20,20,1.3937,99.5224,142.3285,0.7552,48.55,2.6901,52.94,1.385,-0.628,-0.0087,6
ExtraTrees,All_Covariates,20,20,1.4007,99.9914,142.9071,0.7532,48.55,2.7028,52.21,1.385,-1.134,-0.0157,7
ExtraTrees,Baseline,120,20,1.3843,98.8245,141.2957,0.7587,49.33,2.6712,54.41,1.3843,0.0,0.0,0
ExtraTrees,Sig_Macro,120,20,1.385,98.8673,141.5059,0.758,49.71,2.6724,53.68,1.3843,-0.051,-0.0007,1
ExtraTrees,Sig_Commodity,120,20,1.3849,98.8411,141.2344,0.7589,48.94,2.6717,53.68,1.3843,-0.043,-0.0006,2
ExtraTrees,Sig_All,120,20,1.3884,99.1116,141.7761,0.7571,49.33,2.679,53.68,1.3843,-0.296,-0.0041,4
ExtraTrees,All_Macro,120,20,1.3859,98.9233,141.9363,0.7565,49.13,2.6739,53.68,1.3843,-0.116,-0.0016,5
ExtraTrees,All_Commodity_Regional,120,20,1.3853,98.886,140.9864,0.7598,49.13,2.6729,53.68,1.3843,-0.072,-0.001,6
ExtraTrees,All_Covariates,120,20,1.3849,98.8459,141.5591,0.7578,49.13,2.6718,52.94,1.3843,-0.043,-0.0006,7
LightGBM,Baseline,20,20,1.3996,99.9117,142.3469,0.7551,49.33,2.7006,52.21,1.3996,0.0,0.0,0
