Model,Covariates,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,RMSE_std,R2_mean,DA_mean,DA_std
ExtraTrees,BI_Rate,120,20,2.1017,0.5951,126.1228,191.6667,48.3565,0.6689,50.34,1.81
ExtraTrees,CPI,20,1,0.6595,0.1636,40.328,55.1967,9.402,0.969,52.57,2.24
ExtraTrees,CPI,20,5,1.0867,0.3415,65.3983,95.0571,22.7843,0.9166,50.69,2.6
ExtraTrees,CPI,20,20,2.1018,0.5992,126.2255,191.4074,48.4103,0.67,49.45,2.21
ExtraTrees,CPI,120,1,0.659,0.1629,40.3148,55.1087,9.3155,0.969,51.76,2.17
ExtraTrees,CPI,120,5,1.0845,0.3389,65.2764,94.9015,22.5486,0.9166,50.33,2.49
ExtraTrees,CPI,120,20,2.103,0.5934,126.2445,191.2018,47.8007,0.6688,50.03,1.75
ExtraTrees,M2,20,1,0.66,0.162,40.3774,55.1918,9.1861,0.9688,51.91,0.84
ExtraTrees,M2,20,5,1.0833,0.3459,65.1444,94.9156,22.8353,0.9166,50.9,2.93
ExtraTrees,M2,20,20,2.111,0.5911,126.8407,191.6669,47.8612,0.6696,49.82,1.75
ExtraTrees,M2,120,1,0.6597,0.1627,40.3579,55.0991,9.2568,0.969,51.86,1.7
ExtraTrees,M2,120,5,1.0826,0.3418,65.1333,94.7964,22.5591,0.9165,50.9,3.14
ExtraTrees,M2,120,20,2.1071,0.5943,126.4584,191.8161,48.3721,0.6688,50.08,1.85
ExtraTrees,NPL_Ratio,20,1,0.6597,0.1635,40.3383,55.1781,9.4155,0.969,52.42,0.75
ExtraTrees,NPL_Ratio,20,5,1.0877,0.3417,65.4425,95.2436,22.8754,0.9163,50.64,2.31
ExtraTrees,NPL_Ratio,20,20,2.1009,0.6,126.1592,191.3725,48.424,0.67,49.45,1.99
ExtraTrees,NPL_Ratio,120,1,0.6593,0.1637,40.3224,55.1315,9.3758,0.969,52.21,1.01
ExtraTrees,NPL_Ratio,120,5,1.0829,0.3387,65.208,94.8814,22.3811,0.9162,50.03,3.29
ExtraTrees,NPL_Ratio,120,20,2.1004,0.5964,126.0522,191.5669,48.5231,0.6688,50.34,1.6
ExtraTrees,USDIDR,20,1,0.6589,0.1627,40.3023,55.1647,9.3911,0.969,53.08,0.26
ExtraTrees,USDIDR,20,5,1.0907,0.347,65.5803,95.3418,23.0685,0.9163,50.8,2.45
ExtraTrees,USDIDR,20,20,2.1025,0.6012,126.2228,191.4514,48.6484,0.6704,49.82,2.07
ExtraTrees,USDIDR,120,1,0.6601,0.1645,40.3645,55.1375,9.3991,0.9691,51.45,2.03
ExtraTrees,USDIDR,120,5,1.0872,0.3432,65.4095,94.9927,22.6506,0.9165,50.44,2.87
ExtraTrees,USDIDR,120,20,2.1056,0.6023,126.2943,191.7644,48.7923,0.6691,50.45,1.6
ExtraTrees,GDP,20,1,0.6598,0.1639,40.3417,55.1929,9.4491,0.969,52.06,2.06
ExtraTrees,GDP,20,5,1.0873,0.3428,65.4037,95.2107,22.9125,0.9164,50.59,2.87
ExtraTrees,GDP,20,20,2.0997,0.5997,126.0616,191.159,48.3675,0.6709,49.97,1.75
