Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large
ExtraTrees,Silver,20,20,1.387,99.0496,141.8729,0.7568,48.55,2.6773,53.68
ExtraTrees,Silver,120,1,0.5045,35.8591,47.8542,0.972,53.99,0.9693,50.36
ExtraTrees,Silver,120,5,0.8528,60.6128,79.7082,0.9225,48.09,1.6384,52.55
ExtraTrees,Silver,120,20,1.385,98.8651,141.4161,0.7583,48.75,2.6723,52.94
ExtraTrees,Tin,20,1,0.5057,35.9509,47.9346,0.9719,53.8,0.9718,47.45
ExtraTrees,Tin,20,5,0.8527,60.6119,79.618,0.9227,47.71,1.6383,53.28
ExtraTrees,Tin,20,20,1.3872,99.0464,141.5577,0.7578,48.94,2.6772,54.41
ExtraTrees,Tin,120,1,0.5055,35.9386,47.9736,0.9718,53.04,0.9714,43.8
ExtraTrees,Tin,120,5,0.8529,60.6242,79.6818,0.9226,47.33,1.6387,52.55
ExtraTrees,Tin,120,20,1.3882,99.1058,141.8415,0.7569,48.94,2.6788,54.41
ExtraTrees,Gold,20,1,0.5053,35.9176,47.8401,0.972,52.09,0.9709,50.36
ExtraTrees,Gold,20,5,0.8501,60.4342,79.4502,0.923,48.66,1.6335,53.28
ExtraTrees,Gold,20,20,1.3964,99.6931,142.5193,0.7545,48.55,2.6947,52.94
ExtraTrees,Gold,120,1,0.5055,35.9335,47.8734,0.9719,52.09,0.9713,46.72
ExtraTrees,Gold,120,5,0.8513,60.4997,79.5474,0.9228,47.9,1.6353,52.55
ExtraTrees,Gold,120,20,1.383,98.737,141.3101,0.7587,49.33,2.6689,53.68
ExtraTrees,WTI,20,1,0.5052,35.9176,47.9191,0.9719,51.9,0.9709,45.26
ExtraTrees,WTI,20,5,0.852,60.5668,79.6385,0.9227,47.71,1.6371,51.82
ExtraTrees,WTI,20,20,1.3866,99.0164,141.6516,0.7575,48.94,2.6764,54.41
ExtraTrees,WTI,120,1,0.5051,35.9061,47.8838,0.9719,55.32,0.9705,49.64
ExtraTrees,WTI,120,5,0.8519,60.5506,79.6381,0.9227,48.28,1.6367,53.28
ExtraTrees,WTI,120,20,1.3851,98.8913,141.7937,0.757,49.33,2.673,54.41
ExtraTrees,STI,20,1,0.5057,35.9519,47.9738,0.9718,50.95,0.9718,43.8
ExtraTrees,STI,20,5,0.8532,60.6492,79.8124,0.9223,47.9,1.6393,51.09
ExtraTrees,STI,20,20,1.3852,98.8957,141.2811,0.7588,48.75,2.6731,53.68
ExtraTrees,STI,120,1,0.5056,35.9451,47.9224,0.9719,52.47,0.9716,47.45
ExtraTrees,STI,120,5,0.8524,60.5927,79.762,0.9224,48.09,1.6378,51.82
ExtraTrees,STI,120,20,1.3833,98.7414,141.1652,0.7592,49.13,2.669,54.41
XGBoost,None,20,1,0.5044,35.8531,47.8568,0.972,54.75,0.9691,51.09
XGBoost,None,20,5,0.8525,60.5882,79.4571,0.923,47.33,1.6377,54.01
XGBoost,None,20,20,1.3935,99.4391,141.6232,0.7576,48.55,2.6878,52.21
XGBoost,None,120,1,0.5148,36.5772,48.2423,0.9715,48.1,0.9887,49.64
XGBoost,None,120,5,0.861,61.1574,80.5683,0.9209,48.85,1.6531,55.47
XGBoost,None,120,20,1.3899,99.0308,138.4163,0.7685,47.78,2.6768,52.21
XGBoost,BI_Rate,20,1,0.5035,35.7942,47.8057,0.972,52.66,0.9675,54.74
XGBoost,BI_Rate,20,5,0.8549,60.7487,79.6346,0.9227,47.71,1.642,51.82
XGBoost,BI_Rate,20,20,1.3896,99.1682,141.4119,0.7583,48.94,2.6805,52.94
XGBoost,BI_Rate,120,1,0.515,36.5866,48.2838,0.9715,49.05,0.9889,51.82
XGBoost,BI_Rate,120,5,0.8601,61.1015,80.1293,0.9217,48.28,1.6516,54.74
XGBoost,BI_Rate,120,20,1.38,98.4088,137.5297,0.7714,47.78,2.66,52.94
XGBoost,CPI,20,1,0.5027,35.7291,47.7304,0.9721,55.89,0.9658,54.74
XGBoost,CPI,20,5,0.8524,60.5745,79.4236,0.9231,48.85,1.6373,53.28
XGBoost,CPI,20,20,1.389,99.1216,141.1747,0.7591,48.75,2.6793,51.47
XGBoost,CPI,120,1,0.5149,36.591,48.2825,0.9715,48.67,0.9891,52.55
XGBoost,CPI,120,5,0.8577,60.9196,80.0571,0.9219,47.9,1.6467,56.2
XGBoost,CPI,120,20,1.392,99.2062,139.5131,0.7648,47.4,2.6815,52.21
XGBoost,M2,20,1,0.5037,35.8049,47.7886,0.972,53.8,0.9678,56.93
XGBoost,M2,20,5,0.852,60.5426,79.3758,0.9232,48.09,1.6365,54.01
XGBoost,M2,20,20,1.3939,99.463,141.6099,0.7577,48.55,2.6885,52.94
XGBoost,M2,120,1,0.5147,36.5728,48.2413,0.9715,48.86,0.9886,52.55
XGBoost,M2,120,5,0.8568,60.8754,80.0261,0.9219,46.95,1.6455,55.47
XGBoost,M2,120,20,1.3834,98.6386,139.3479,0.7653,47.98,2.6662,52.94
XGBoost,NPL_Ratio,20,1,0.5029,35.7444,47.7343,0.9721,54.75,0.9662,56.2
XGBoost,NPL_Ratio,20,5,0.8503,60.4271,79.305,0.9233,49.05,1.6333,56.2
XGBoost,NPL_Ratio,20,20,1.3925,99.3696,141.7923,0.757,48.55,2.686,52.21
XGBoost,NPL_Ratio,120,1,0.5155,36.6261,48.2087,0.9716,50.76,0.99,54.74
XGBoost,NPL_Ratio,120,5,0.854,60.6807,79.9697,0.922,46.56,1.6402,53.28
XGBoost,NPL_Ratio,120,20,1.3841,98.6528,139.1023,0.7662,48.36,2.6666,52.94
XGBoost,USDIDR,20,1,0.5037,35.7912,47.8039,0.972,52.66,0.9674,56.2
XGBoost,USDIDR,20,5,0.8513,60.4753,79.3287,0.9233,48.47,1.6346,54.01
XGBoost,USDIDR,20,20,1.4063,100.3391,142.5164,0.7545,48.17,2.7122,52.94
XGBoost,USDIDR,120,1,0.511,36.3018,48.2509,0.9715,51.14,0.9812,51.09
XGBoost,USDIDR,120,5,0.8654,61.5117,80.9415,0.9201,47.71,1.6627,51.82
XGBoost,USDIDR,120,20,1.4447,102.9008,140.3048,0.7621,46.44,2.7814,49.26
XGBoost,GDP,20,1,0.503,35.7528,47.7613,0.9721,54.18,0.9664,52.55
XGBoost,GDP,20,5,0.8523,60.5647,79.4162,0.9231,47.9,1.6371,54.01
XGBoost,GDP,20,20,1.39,99.1889,141.4273,0.7583,48.75,2.6811,52.21
XGBoost,GDP,120,1,0.5146,36.5674,48.1814,0.9716,47.72,0.9884,52.55
XGBoost,GDP,120,5,0.8593,61.0475,80.0299,0.9219,46.76,1.6501,52.55
XGBoost,GDP,120,20,1.3839,98.6929,138.3445,0.7687,47.78,2.6677,52.21
XGBoost,US_Treasury_10Y,20,1,0.5076,36.0847,48.0009,0.9718,51.33,0.9754,52.55
XGBoost,US_Treasury_10Y,20,5,0.8583,61.0123,79.9591,0.922,46.56,1.6492,54.01
XGBoost,US_Treasury_10Y,20,20,1.4185,101.3309,145.3314,0.7448,47.59,2.739,52.94
XGBoost,US_Treasury_10Y,120,1,0.5149,36.6085,48.4931,0.9712,50.38,0.9895,48.18
XGBoost,US_Treasury_10Y,120,5,0.8648,61.507,80.1336,0.9217,45.99,1.6625,51.09
XGBoost,US_Treasury_10Y,120,20,1.4511,103.5175,148.5401,0.7334,47.01,2.7981,52.94
XGBoost,Coal,20,1,0.5029,35.7473,47.7742,0.9721,53.61,0.9662,49.64
XGBoost,Coal,20,5,0.8414,59.8004,78.8785,0.9241,49.24,1.6164,54.74
XGBoost,Coal,20,20,1.3892,99.1588,139.5193,0.7648,48.75,2.6803,55.15
XGBoost,Coal,120,1,0.5127,36.4332,47.9135,0.9719,48.67,0.9848,57.66
XGBoost,Coal,120,5,0.854,60.7023,79.6507,0.9226,47.52,1.6408,54.01
XGBoost,Coal,120,20,1.3999,99.7527,138.9851,0.7666,48.94,2.6963,52.21
XGBoost,Copper,20,1,0.5061,35.9652,47.9915,0.9718,53.8,0.9721,56.93
XGBoost,Copper,20,5,0.8556,60.8394,80.0669,0.9218,47.52,1.6445,54.74
XGBoost,Copper,20,20,1.3818,98.6687,142.6895,0.754,48.55,2.667,54.41
XGBoost,Copper,120,1,0.5157,36.6443,48.5802,0.9711,49.24,0.9905,48.91
XGBoost,Copper,120,5,0.871,61.8814,81.3411,0.9193,48.47,1.6727,52.55
XGBoost,Copper,120,20,1.3887,98.9814,139.9478,0.7633,48.75,2.6755,51.47
XGBoost,Nickel,20,1,0.51,36.246,48.3653,0.9714,49.43,0.9797,48.91
XGBoost,Nickel,20,5,0.8475,60.275,80.0211,0.9219,48.09,1.6292,53.28
XGBoost,Nickel,20,20,1.3842,98.7645,140.9934,0.7598,49.13,2.6696,55.15
XGBoost,Nickel,120,1,0.5203,36.9719,48.8923,0.9707,48.1,0.9993,51.82
XGBoost,Nickel,120,5,0.853,60.6133,80.1314,0.9217,48.85,1.6384,56.2
XGBoost,Nickel,120,20,1.4466,103.1856,143.8933,0.7498,47.98,2.7891,50.74
XGBoost,Silver,20,1,0.5022,35.6995,47.7915,0.972,55.7,0.965,54.74
XGBoost,Silver,20,5,0.8442,59.9683,78.8882,0.9241,48.66,1.6209,54.74
XGBoost,Silver,20,20,1.3609,97.1635,139.519,0.7648,50.48,2.6263,53.68
XGBoost,Silver,120,1,0.5111,36.328,48.3078,0.9714,50.0,0.9819,51.82
XGBoost,Silver,120,5,0.8434,59.909,78.9988,0.9239,49.05,1.6193,55.47
XGBoost,Silver,120,20,1.3803,98.3281,137.2749,0.7723,48.17,2.6578,51.47
XGBoost,Tin,20,1,0.5058,35.943,47.7579,0.9721,51.33,0.9715,55.47
XGBoost,Tin,20,5,0.8535,60.6678,79.1403,0.9236,47.14,1.6398,55.47
XGBoost,Tin,20,20,1.382,98.7115,140.648,0.7609,48.55,2.6682,54.41
XGBoost,Tin,120,1,0.5044,35.8604,47.7743,0.9721,51.71,0.9693,56.2
XGBoost,Tin,120,5,0.8636,61.4185,80.2644,0.9214,47.71,1.6601,54.74
XGBoost,Tin,120,20,1.3816,98.5304,136.3463,0.7753,48.55,2.6633,53.68
XGBoost,Gold,20,1,0.5055,35.9252,47.8858,0.9719,53.04,0.9711,48.91
XGBoost,Gold,20,5,0.8423,59.8401,78.5824,0.9247,48.09,1.6175,56.93
XGBoost,Gold,20,20,1.3783,98.359,141.6581,0.7575,49.9,2.6586,54.41
XGBoost,Gold,120,1,0.5106,36.2717,48.3727,0.9714,52.09,0.9804,52.55
XGBoost,Gold,120,5,0.8509,60.4319,80.3349,0.9213,48.28,1.6335,52.55
XGBoost,Gold,120,20,1.3679,97.4251,136.1539,0.776,50.1,2.6334,54.41
XGBoost,WTI,20,1,0.5048,35.878,47.9312,0.9719,53.42,0.9698,56.2
XGBoost,WTI,20,5,0.858,60.9735,80.1641,0.9216,48.09,1.6481,54.74
XGBoost,WTI,20,20,1.3908,99.3452,144.0439,0.7493,48.55,2.6853,52.21
