feature,importance,covariate_set,scenario
IHSG_lag_103,0.0015936631457600745,Macro_Regional,W120_H1
IHSG_lag_8,0.0015935435244613817,Macro_Regional,W120_H1
M2_lag_48,0.0015804235840544529,Macro_Regional,W120_H1
NPL_Ratio_lag_39,0.0015729828517060285,Macro_Regional,W120_H1
NPL_Ratio_lag_21,0.0015662286368220268,Macro_Regional,W120_H1
M2_lag_44,0.0015661109908374174,Macro_Regional,W120_H1
USDIDR_lag_26,0.0015655062330869839,Macro_Regional,W120_H1
CPI_lag_35,0.0015617707044428832,Macro_Regional,W120_H1
BI_Rate_lag_99,0.0015573115748740486,Macro_Regional,W120_H1
M2_lag_68,0.0015559999196636098,Macro_Regional,W120_H1
IHSG_lag_75,0.0015496499893583112,Macro_Regional,W120_H1
M2_lag_30,0.0015312973583243394,Macro_Regional,W120_H1
BI_Rate_lag_9,0.0015097685559999135,Macro_Regional,W120_H1
USDIDR_lag_2,0.0014974455973578503,Macro_Regional,W120_H1
USDIDR_lag_14,0.0014888868097192938,Macro_Regional,W120_H1
STI_lag_77,0.0014856103889407395,Macro_Regional,W120_H1
NPL_Ratio_lag_3,0.0014837127541633085,Macro_Regional,W120_H1
USDIDR_lag_33,0.0014691446162737299,Macro_Regional,W120_H1
CPI_lag_50,0.0014665333326069406,Macro_Regional,W120_H1
NPL_Ratio_lag_1,0.0014607626645630144,Macro_Regional,W120_H1
NPL_Ratio_lag_33,0.0014591637552282385,Macro_Regional,W120_H1
USDIDR_lag_39,0.001436698723360623,Macro_Regional,W120_H1
BI_Rate_lag_23,0.0014337804042965504,Macro_Regional,W120_H1
IHSG_lag_51,0.0014314817751795046,Macro_Regional,W120_H1
NPL_Ratio_lag_50,0.0014278161619224866,Macro_Regional,W120_H1
NPL_Ratio_lag_111,0.0014262357817771128,Macro_Regional,W120_H1
IHSG_lag_82,0.0014230713632845137,Macro_Regional,W120_H1
M2_lag_20,0.00142229362762294,Macro_Regional,W120_H1
NPL_Ratio_lag_98,0.0014181591762934865,Macro_Regional,W120_H1
CPI_lag_87,0.001408262759011202,Macro_Regional,W120_H1
IHSG_lag_54,0.0014072579158453033,Macro_Regional,W120_H1
USDIDR_lag_89,0.001398403250453363,Macro_Regional,W120_H1
USDIDR_lag_98,0.0013935577651161284,Macro_Regional,W120_H1
STI_lag_19,0.0013919468031479225,Macro_Regional,W120_H1
M2_lag_110,0.0013907638654888413,Macro_Regional,W120_H1
NPL_Ratio_lag_20,0.001389078414852057,Macro_Regional,W120_H1
NPL_Ratio_lag_38,0.0013867570636153354,Macro_Regional,W120_H1
BI_Rate_lag_117,0.001383134250314699,Macro_Regional,W120_H1
IHSG_lag_43,0.001375864901958573,Macro_Regional,W120_H1
USDIDR_lag_45,0.0013675497674276594,Macro_Regional,W120_H1
IHSG_lag_44,0.0013663053345475149,Macro_Regional,W120_H1
IHSG_lag_94,0.0013661420257846412,Macro_Regional,W120_H1
IHSG_lag_32,0.001362692683910142,Macro_Regional,W120_H1
NPL_Ratio_lag_27,0.0013621277588581886,Macro_Regional,W120_H1
NPL_Ratio_lag_103,0.001340344267744743,Macro_Regional,W120_H1
IHSG_lag_38,0.001340022655737614,Macro_Regional,W120_H1
CPI_lag_81,0.0013377710820658708,Macro_Regional,W120_H1
BI_Rate_lag_3,0.00133324774377567,Macro_Regional,W120_H1
NPL_Ratio_lag_32,0.001332734547722122,Macro_Regional,W120_H1
IHSG_lag_45,0.0013281805258217067,Macro_Regional,W120_H1
M2_lag_14,0.0013256727192451708,Macro_Regional,W120_H1
IHSG_lag_68,0.001322360351814047,Macro_Regional,W120_H1
NPL_Ratio_lag_63,0.0013209453010443709,Macro_Regional,W120_H1
BI_Rate_lag_39,0.001314662970295279,Macro_Regional,W120_H1
NPL_Ratio_lag_5,0.0013135715460672955,Macro_Regional,W120_H1
M2_lag_80,0.0013097894867814125,Macro_Regional,W120_H1
M2_lag_15,0.0013036125406164245,Macro_Regional,W120_H1
NPL_Ratio_lag_74,0.0012954037467798403,Macro_Regional,W120_H1
STI_lag_103,0.0012951645776123402,Macro_Regional,W120_H1
IHSG_lag_24,0.0012933221447890063,Macro_Regional,W120_H1
M2_lag_95,0.0012873502678327734,Macro_Regional,W120_H1
USDIDR_lag_91,0.0012852024540318755,Macro_Regional,W120_H1
IHSG_lag_89,0.0012811727199225614,Macro_Regional,W120_H1
IHSG_lag_15,0.0012809421158279188,Macro_Regional,W120_H1
IHSG_lag_19,0.0012805457892991216,Macro_Regional,W120_H1
M2_lag_111,0.0012735491139505436,Macro_Regional,W120_H1
BI_Rate_lag_108,0.0012712693182409195,Macro_Regional,W120_H1
NPL_Ratio_lag_26,0.0012655074454791643,Macro_Regional,W120_H1
IHSG_lag_58,0.0012647094426980567,Macro_Regional,W120_H1
IHSG_lag_98,0.00126420499141442,Macro_Regional,W120_H1
M2_lag_101,0.0012626574530073009,Macro_Regional,W120_H1
CPI_lag_2,0.0012609949815997547,Macro_Regional,W120_H1
IHSG_lag_70,0.0012584447402821373,Macro_Regional,W120_H1
USDIDR_lag_66,0.001253953687644962,Macro_Regional,W120_H1
M2_lag_116,0.0012526418177562291,Macro_Regional,W120_H1
BI_Rate_lag_32,0.0012526211920980946,Macro_Regional,W120_H1
USDIDR_lag_110,0.0012520999383110536,Macro_Regional,W120_H1
M2_lag_46,0.0012520185290189963,Macro_Regional,W120_H1
M2_lag_25,0.001251976132095927,Macro_Regional,W120_H1
USDIDR_lag_75,0.0012462857529863393,Macro_Regional,W120_H1
IHSG_lag_66,0.0012444855842681354,Macro_Regional,W120_H1
STI_lag_27,0.0012390798568010105,Macro_Regional,W120_H1
CPI_lag_31,0.0012302978570902126,Macro_Regional,W120_H1
M2_lag_81,0.0012284283974831297,Macro_Regional,W120_H1
IHSG_lag_26,0.0012277181010283053,Macro_Regional,W120_H1
CPI_lag_15,0.0012232215926874638,Macro_Regional,W120_H1
IHSG_lag_100,0.0012223054837489497,Macro_Regional,W120_H1
IHSG_lag_83,0.0012134658132069783,Macro_Regional,W120_H1
USDIDR_lag_115,0.0012093209610178387,Macro_Regional,W120_H1
CPI_lag_20,0.001207524757152965,Macro_Regional,W120_H1
BI_Rate_lag_111,0.001206286972088402,Macro_Regional,W120_H1
CPI_lag_8,0.0012060417478916197,Macro_Regional,W120_H1
M2_lag_89,0.0012060294488926958,Macro_Regional,W120_H1
BI_Rate_lag_44,0.00120190293212769,Macro_Regional,W120_H1
STI_lag_44,0.0011974326624028747,Macro_Regional,W120_H1
NPL_Ratio_lag_87,0.0011965605243710212,Macro_Regional,W120_H1
IHSG_lag_52,0.0011906258965815508,Macro_Regional,W120_H1
NPL_Ratio_lag_109,0.0011902018698691933,Macro_Regional,W120_H1
USDIDR_lag_74,0.0011874896377614256,Macro_Regional,W120_H1
CPI_lag_57,0.0011873004704653974,Macro_Regional,W120_H1
M2_lag_105,0.0011866857238870703,Macro_Regional,W120_H1
M2_lag_51,0.0011862878275918786,Macro_Regional,W120_H1
USDIDR_lag_105,0.001183584996669164,Macro_Regional,W120_H1
BI_Rate_lag_27,0.0011814441175817608,Macro_Regional,W120_H1
USDIDR_lag_71,0.0011771607996276287,Macro_Regional,W120_H1
M2_lag_99,0.0011766977664526318,Macro_Regional,W120_H1
IHSG_lag_6,0.0011689333544686164,Macro_Regional,W120_H1
IHSG_lag_46,0.0011645150173225068,Macro_Regional,W120_H1
BI_Rate_lag_98,0.0011641390943910137,Macro_Regional,W120_H1
IHSG_lag_97,0.0011620988807400224,Macro_Regional,W120_H1
BI_Rate_lag_57,0.001158958734245852,Macro_Regional,W120_H1
CPI_lag_104,0.001158463910020773,Macro_Regional,W120_H1
NPL_Ratio_lag_62,0.0011579736069818095,Macro_Regional,W120_H1
USDIDR_lag_57,0.0011536814430068412,Macro_Regional,W120_H1
USDIDR_lag_97,0.0011515568912668192,Macro_Regional,W120_H1
NPL_Ratio_lag_44,0.0011509118574449806,Macro_Regional,W120_H1
USDIDR_lag_104,0.0011497443515121604,Macro_Regional,W120_H1
IHSG_lag_56,0.0011494254429522078,Macro_Regional,W120_H1
IHSG_lag_78,0.0011488892147105993,Macro_Regional,W120_H1
CPI_lag_74,0.001142915810108517,Macro_Regional,W120_H1
CPI_lag_75,0.0011426210891055662,Macro_Regional,W120_H1
IHSG_lag_16,0.0011330150812105943,Macro_Regional,W120_H1
M2_lag_21,0.0011322371397116976,Macro_Regional,W120_H1
CPI_lag_108,0.0011314373808142767,Macro_Regional,W120_H1
IHSG_lag_86,0.0011284480800006693,Macro_Regional,W120_H1
USDIDR_lag_51,0.0011207812126387,Macro_Regional,W120_H1
IHSG_lag_67,0.001119859313108703,Macro_Regional,W120_H1
NPL_Ratio_lag_86,0.0011154116835147923,Macro_Regional,W120_H1
BI_Rate_lag_74,0.0011143035558353334,Macro_Regional,W120_H1
IHSG_lag_55,0.0011128462958616846,Macro_Regional,W120_H1
STI_lag_32,0.0011118350959975162,Macro_Regional,W120_H1
IHSG_lag_35,0.0011099875277196037,Macro_Regional,W120_H1
NPL_Ratio_lag_79,0.00110553789853133,Macro_Regional,W120_H1
IHSG_lag_40,0.0011026981933111675,Macro_Regional,W120_H1
IHSG_lag_34,0.0010986399172070271,Macro_Regional,W120_H1
BI_Rate_lag_104,0.0010983288733212408,Macro_Regional,W120_H1
M2_lag_93,0.001091625853400383,Macro_Regional,W120_H1
USDIDR_lag_92,0.0010913909384448052,Macro_Regional,W120_H1
IHSG_lag_69,0.0010870158206910444,Macro_Regional,W120_H1
BI_Rate_lag_65,0.0010863322735646373,Macro_Regional,W120_H1
M2_lag_8,0.001082999808177331,Macro_Regional,W120_H1
IHSG_lag_17,0.0010754292169465767,Macro_Regional,W120_H1
BI_Rate_lag_72,0.0010739635008511716,Macro_Regional,W120_H1
