date;usd_idr_close;usd_idr_open;usd_idr_high;usd_idr_low;usd_idr_returns;id_inflation_rate_yoy;id_inflation_rate_mom;bi_interest_rate;idr_m1;idr_m2;id_leading_economic_indicator;total_credit;non_performing_loan;npl_ratio
01/08/23;15,225.00;15,112.50;15,359.50;15,018.50;1.00%;3.27%;-0.02;5.75%;2,410,851;8,364,739;99.61;6,739,395;168,213;2.50%
01/09/23;15,450.00;15,227.50;15,542.50;15,215.00;1.48%;2.28%;0.19;5.75%;2,482,229;8,441,236;99.56;6,837,296;166,479;2.43%
01/10/23;15,880.00;15,492.50;15,967.50;15,492.50;2.78%;2.56%;0.17;6.00%;2,497,710;8,506,544;99.51;6,902,983;166,778;2.42%
01/11/23;15,505.00;15,925.00;15,953.50;15,357.50;-2.36%;2.86%;0.38;6.00%;2,510,759;8,574,917;99.47;6,965,899;164,638;2.36%
01/12/23;15,395.00;15,520.00;15,677.50;15,380.00;-0.71%;2.61%;0.41;6.00%;2,675,333;8,826,531;99.45;7,090,243;154,977;2.19%
01/01/24;15,775.00;15,430.00;15,847.50;15,430.00;2.47%;2.57%;0.04;6.00%;2,564,734;8,721,950;99.43;7,057,558;165,548;2.35%
01/02/24;15,710.00;15,787.50;15,802.50;15,547.50;-0.41%;2.75%;0.37;6.00%;2,556,485;8,739,574;99.43;7,094,514;166,603;2.35%
01/03/24;15,850.00;15,722.50;15,894.00;15,557.50;0.89%;3.05%;0.52;6.00%;2,639,425;8,891,425;99.44;7,244,637;163,260;2.25%
01/04/24;16,255.00;15,875.00;16,290.00;15,842.50;2.56%;3.00%;0.25;6.25%;2,623,331;8,926,466;99.5;7,310,683;170,002;2.33%
01/05/24;16,245.00;16,250.00;16,275.00;15,912.50;-0.06%;2.84%;-0.03;6.25%;2,625,271;8,968,821;99.6;7,376,114;172,339;2.34%
01/06/24;16,370.00;16,255.00;16,482.50;16,190.00;0.77%;2.51%;-0.08;6.25%;2,692,395;9,015,355;99.75;7,478,404;169,234;2.26%
01/07/24;16,255.00;16,352.50;16,427.50;16,096.00;-0.70%;2.13%;-0.18;6.25%;2,625,264;8,983,383;99.95;7,514,618;170,895;2.27%
01/08/24;15,450.00;16,255.00;16,281.50;15,295.00;-4.95%;2.12%;-0.03;6.25%;2,626,710;8,975,512;100.15;7,507,704;169,596;2.26%
01/09/24;15,135.00;15,497.50;15,583.50;15,065.00;-2.04%;1.84%;-0.12;6.00%;2,672,408;9,047,999;100.3;7,579,250;167,192;2.21%
01/10/24;15,690.00;15,175.00;15,778.50;15,167.50;3.67%;1.71%;0.08;6.00%;2,697,741;9,082,755;100.37;7,656,895;168,329;2.20%
01/11/24;15,840.00;15,705.00;15,971.50;15,617.50;0.96%;1.55%;0.30;6.00%;2,822,294;9,175,751;100.35;7,717,257;168,963;2.19%
01/12/24;16,090.00;15,870.00;16,322.50;15,830.00;1.58%;1.57%;0.44;6.00%;2,839,485;9,210,816;100.28;7,831,558;162,906;2.08%
01/01/25;16,300.00;16,095.00;16,392.50;16,095.00;1.31%;0.76%;-0.76;5.75%;2,790,375;9,198,352;100.17;7,782,219;169,752;2.18%
