Date,Price
5/2/2023,24965
4/28/2023,24219
4/27/2023,24099
4/26/2023,23646
4/25/2023,23341
4/24/2023,24582
4/21/2023,24477
4/20/2023,25061
4/19/2023,25551
4/18/2023,25633
4/17/2023,24701
4/14/2023,24132
4/13/2023,23698
4/12/2023,23579
4/11/2023,23472
4/6/2023,22800
4/5/2023,22706
4/4/2023,23124
4/3/2023,23372
3/31/2023,23838
3/30/2023,23199
3/29/2023,23743
3/28/2023,24074
3/27/2023,23843
3/24/2023,23468
3/23/2023,22517
3/22/2023,22461
3/21/2023,22514
3/20/2023,22797
3/17/2023,23364
3/16/2023,23236
3/15/2023,23003
3/14/2023,23040
3/13/2023,23123
3/10/2023,22684
3/9/2023,23269
3/8/2023,23974
3/7/2023,24145
3/6/2023,24430
3/3/2023,24597
3/2/2023,24395
3/1/2023,24890
2/28/2023,24794
2/27/2023,25505
2/24/2023,24554
2/23/2023,25387
2/22/2023,26431
2/21/2023,27105
2/20/2023,26932
2/17/2023,25793
2/16/2023,26489
2/15/2023,26143
2/14/2023,26459
2/13/2023,26627
2/10/2023,27794
2/9/2023,29142
2/8/2023,27390
2/7/2023,27248
2/6/2023,27258
2/3/2023,28612
2/2/2023,29790
2/1/2023,29296
1/31/2023,30344
1/30/2023,29219
1/27/2023,28902
1/26/2023,29427
1/25/2023,29182
1/24/2023,28782
1/23/2023,28110
1/20/2023,28771
1/19/2023,29346
1/18/2023,27844
1/17/2023,26690
1/16/2023,27217
1/13/2023,26795
1/12/2023,27013
1/11/2023,27039
1/10/2023,27466
1/9/2023,27434
1/6/2023,28079
1/5/2023,27748
1/4/2023,29768
1/3/2023,31118
12/30/2022,30048
12/29/2022,30259
12/28/2022,30431
12/23/2022,29547
12/22/2022,29240
12/21/2022,29591
12/20/2022,28334
12/19/2022,27215
12/16/2022,28273
12/15/2022,28311
12/14/2022,28365
12/13/2022,28287
12/12/2022,29518
12/9/2022,29433
12/8/2022,29725
12/7/2022,31441
12/6/2022,29271
12/5/2022,28680
12/2/2022,28862
12/1/2022,27601
11/30/2022,26987
11/29/2022,26861
11/28/2022,25639
11/25/2022,25416
11/24/2022,26100
11/23/2022,26293
11/22/2022,26022
11/21/2022,24983
11/18/2022,25385
11/17/2022,25064
11/16/2022,27532
11/15/2022,30254
11/14/2022,28840
11/11/2022,26925
11/10/2022,25949
11/9/2022,24688
11/8/2022,24012
11/7/2022,23395
11/4/2022,23811
11/3/2022,22803
11/2/2022,24145
11/1/2022,23600
10/31/2022,21809
10/28/2022,22134
10/27/2022,22384
10/26/2022,22670
10/25/2022,22322
10/24/2022,22248
10/21/2022,21949
10/20/2022,22196
10/19/2022,21945
10/18/2022,21876
10/17/2022,21541
10/14/2022,21777
10/13/2022,22427
10/12/2022,22292
10/11/2022,22079
10/10/2022,22412
10/7/2022,22487
10/6/2022,22782
10/5/2022,22588
10/4/2022,22055
10/3/2022,21258
9/30/2022,21107
9/29/2022,22348
9/28/2022,21805
9/27/2022,21858
9/26/2022,22206
9/23/2022,23411
9/22/2022,24562
9/21/2022,24949
9/20/2022,24964
9/19/2022,24594
9/16/2022,24249
9/15/2022,23127
9/14/2022,24217
9/13/2022,24281
9/12/2022,24577
9/9/2022,22994
9/8/2022,21753
9/7/2022,21580
9/6/2022,21574
9/5/2022,21458
9/2/2022,20529
9/1/2022,20311
8/31/2022,21411
8/30/2022,21369
8/26/2022,21633
8/25/2022,21677
8/24/2022,21354
8/23/2022,21745
8/22/2022,22343
8/19/2022,22258
8/18/2022,21780
8/17/2022,21885
8/16/2022,22235
8/15/2022,22013
8/12/2022,23036
8/11/2022,23659
8/10/2022,22490
8/9/2022,21561
8/8/2022,21685
8/5/2022,22216
8/4/2022,22210
8/3/2022,22332
8/2/2022,22492
8/1/2022,23575
7/29/2022,23619
7/28/2022,21935
7/27/2022,21813
7/26/2022,21571
7/25/2022,22228
7/22/2022,22122
7/21/2022,21478
7/20/2022,21179
7/19/2022,20596
7/18/2022,20652
7/15/2022,19385
7/14/2022,19402
