Model,Covariates,Window,Horizon,mape,mae,rmse,r2,da,mase,hit_large
XGBoost,Baseline,120,1,0.5341,37.9566,50.191,0.9692,51.52,1.026,50.36
XGBoost,Baseline,120,5,0.8685,61.7018,82.1015,0.9178,49.05,1.6678,51.09
XGBoost,Baseline,120,20,1.4313,101.3842,138.8516,0.767,48.94,2.7404,52.94
XGBoost,Screening1,20,1,0.5314,37.7455,50.318,0.969,56.08,1.0203,58.39
XGBoost,Screening1,20,5,0.9065,64.4551,83.8688,0.9142,47.14,1.7422,54.74
XGBoost,Screening1,20,20,1.6214,115.5877,161.5252,0.6847,48.94,3.1243,55.15
XGBoost,Screening1,120,1,0.5431,38.606,51.4727,0.9676,52.09,1.0435,54.74
XGBoost,Screening1,120,5,0.903,63.8931,84.5381,0.9129,48.09,1.727,51.82
XGBoost,Screening1,120,20,1.463,104.2547,135.4391,0.7783,48.36,2.818,55.15
XGBoost,Screening2,20,1,0.5405,38.3915,50.9368,0.9682,52.09,1.0377,55.47
XGBoost,Screening2,20,5,0.9267,65.8005,85.0334,0.9118,47.52,1.7786,53.28
XGBoost,Screening2,20,20,1.72,122.4587,168.4568,0.6571,50.1,3.3101,54.41
XGBoost,Screening2,120,1,0.5379,38.1535,50.182,0.9692,50.38,1.0313,53.28
XGBoost,Screening2,120,5,0.8526,60.5056,79.0604,0.9238,48.47,1.6355,49.64
XGBoost,Screening2,120,20,1.552,109.9989,142.6198,0.7542,49.9,2.9733,58.09
XGBoost,All_Commodity_STI,20,1,0.5559,39.4837,52.2726,0.9666,51.52,1.0672,55.47
XGBoost,All_Commodity_STI,20,5,0.8749,62.1819,81.8982,0.9182,50.0,1.6808,56.2
XGBoost,All_Commodity_STI,20,20,1.7024,121.3403,161.3226,0.6855,48.94,3.2798,52.21
XGBoost,All_Commodity_STI,120,1,0.5489,38.9751,51.8291,0.9671,51.14,1.0535,51.82
XGBoost,All_Commodity_STI,120,5,0.8627,61.3221,81.759,0.9185,49.43,1.6575,51.82
XGBoost,All_Commodity_STI,120,20,1.6835,120.2853,162.0953,0.6825,46.05,3.2513,53.68
XGBoost,All_Macro_no_UST,20,1,0.545,38.6424,51.4719,0.9676,53.23,1.0445,51.82
XGBoost,All_Macro_no_UST,20,5,0.9204,65.2601,84.9205,0.9121,49.62,1.764,57.66
XGBoost,All_Macro_no_UST,20,20,1.4739,105.2755,151.0369,0.7243,50.48,2.8456,55.15
XGBoost,All_Macro_no_UST,120,1,0.5437,38.6164,51.1254,0.968,52.66,1.0438,56.93
XGBoost,All_Macro_no_UST,120,5,0.9381,66.5761,88.1554,0.9052,46.95,1.7995,45.26
XGBoost,All_Macro_no_UST,120,20,1.4967,106.0854,138.9006,0.7668,49.9,2.8675,55.15
XGBoost,All_Covariates,20,1,0.5426,38.522,51.3917,0.9677,53.23,1.0412,55.47
XGBoost,All_Covariates,20,5,0.9086,64.5193,85.1452,0.9116,48.66,1.744,60.58
XGBoost,All_Covariates,20,20,1.7228,123.1556,171.7398,0.6436,49.52,3.3289,54.41
XGBoost,All_Covariates,120,1,0.5537,39.3337,51.3825,0.9677,51.14,1.0632,57.66
XGBoost,All_Covariates,120,5,0.9035,64.2455,84.1239,0.9137,50.0,1.7366,52.55
XGBoost,All_Covariates,120,20,1.562,111.5066,150.0445,0.7279,45.28,3.014,48.53
LightGBM,Baseline,20,1,0.5527,39.2705,52.2904,0.9665,48.67,1.0615,48.18
LightGBM,Baseline,20,5,0.9613,68.0683,89.6343,0.902,46.37,1.8399,50.36
LightGBM,Baseline,20,20,1.7024,120.7933,168.6616,0.6562,49.9,3.265,54.41
LightGBM,Baseline,120,1,0.5334,37.8744,50.2912,0.969,52.09,1.0237,49.64
LightGBM,Baseline,120,5,0.8541,60.6219,80.3323,0.9213,50.95,1.6386,56.2
LightGBM,Baseline,120,20,1.5046,106.819,147.0721,0.7386,49.33,2.8873,52.94
LightGBM,Screening1,20,1,0.5262,37.3753,49.9484,0.9695,54.37,1.0103,54.01
LightGBM,Screening1,20,5,0.8924,63.3345,83.573,0.9148,49.24,1.7119,54.01
LightGBM,Screening1,20,20,1.6945,121.4803,173.4894,0.6363,48.36,3.2836,50.74
LightGBM,Screening1,120,1,0.5543,39.3655,51.8919,0.967,50.76,1.064,51.09
