Model,Covariates,Window,Horizon,MAPE_mean,MAPE_std,MAE_mean,RMSE_mean,RMSE_std,R2_mean,DA_mean,DA_std
ExtraTrees,USDIDR,120,30,2.7041,0.97,162.171,230.499,65.9246,0.4519,49.82,1.98
ExtraTrees,GDP,30,1,0.6601,0.1646,40.3579,55.1727,9.4424,0.9691,52.52,1.35
ExtraTrees,GDP,30,30,2.6932,0.9603,161.7008,229.453,65.0412,0.4551,49.31,2.8
ExtraTrees,GDP,120,1,0.6587,0.1633,40.2862,55.0826,9.3521,0.9691,52.52,1.83
ExtraTrees,GDP,120,30,2.6947,0.956,161.7093,230.2911,65.582,0.4518,49.72,2.09
ExtraTrees,US_Treasury_10Y,30,1,0.659,0.1632,40.3061,55.0489,9.2924,0.969,52.26,2.36
ExtraTrees,US_Treasury_10Y,30,30,2.6922,0.9499,161.7523,229.7551,64.8948,0.4477,49.2,2.55
ExtraTrees,US_Treasury_10Y,120,1,0.6597,0.1635,40.3459,55.0684,9.3276,0.9691,51.65,1.66
ExtraTrees,US_Treasury_10Y,120,30,2.6888,0.949,161.4239,229.7565,65.5193,0.4506,49.67,2.23
ExtraTrees,Coal,30,1,0.6596,0.1637,40.34,55.1097,9.377,0.9691,53.33,1.32
ExtraTrees,Coal,30,30,2.6989,0.9608,162.0183,229.5879,64.8511,0.4554,49.31,2.84
ExtraTrees,Coal,120,1,0.6603,0.164,40.3866,55.1901,9.4041,0.969,50.43,1.97
ExtraTrees,Coal,120,30,2.7007,0.9586,162.0801,230.6412,65.252,0.4514,49.87,2.32
ExtraTrees,Copper,30,1,0.6586,0.1628,40.2804,55.0618,9.3728,0.9692,51.7,2.55
ExtraTrees,Copper,30,30,2.6869,0.9484,161.3998,229.2001,64.5658,0.4557,49.2,2.7
ExtraTrees,Copper,120,1,0.659,0.1633,40.3079,55.0752,9.3508,0.9691,52.57,1.6
ExtraTrees,Copper,120,30,2.6967,0.9554,161.853,230.328,65.2197,0.4517,49.87,2.04
ExtraTrees,Nickel,30,1,0.6599,0.1633,40.361,55.1533,9.3877,0.9691,51.45,2.19
ExtraTrees,Nickel,30,30,2.6946,0.9546,161.8151,229.4359,64.5332,0.4554,49.46,2.81
ExtraTrees,Nickel,120,1,0.6599,0.1644,40.3606,55.1166,9.3826,0.9691,51.3,2.86
ExtraTrees,Nickel,120,30,2.6873,0.9548,161.2063,229.6952,65.5168,0.4532,49.51,1.96
ExtraTrees,Silver,30,1,0.6581,0.1624,40.2529,55.0152,9.3042,0.9692,54.1,3.16
ExtraTrees,Silver,30,30,2.6924,0.9612,161.6409,229.4481,65.1292,0.456,49.46,2.82
ExtraTrees,Silver,120,1,0.6586,0.1634,40.2849,55.0116,9.2925,0.9691,53.23,1.9
ExtraTrees,Silver,120,30,2.6971,0.9638,161.8146,230.1505,65.7937,0.4547,49.87,2.06
ExtraTrees,Tin,30,1,0.659,0.1628,40.3117,55.1107,9.4218,0.9692,51.7,1.73
ExtraTrees,Tin,30,30,2.6972,0.9498,162.0378,230.0487,63.7822,0.4539,49.2,2.47
ExtraTrees,Tin,120,1,0.6592,0.1623,40.326,55.1751,9.2788,0.9689,50.89,0.94
ExtraTrees,Tin,120,30,2.6969,0.952,161.9159,230.2077,64.832,0.4572,49.2,2.29
ExtraTrees,Gold,30,1,0.6583,0.1622,40.2697,55.0353,9.3001,0.9691,52.88,2.77
ExtraTrees,Gold,30,30,2.6962,0.9599,161.9041,229.6157,64.9176,0.455,49.46,2.7
ExtraTrees,Gold,120,1,0.659,0.1637,40.3055,55.08,9.3509,0.9691,52.57,2.44
ExtraTrees,Gold,120,30,2.695,0.9612,161.7393,229.9738,65.6363,0.4524,49.97,2.03
ExtraTrees,WTI,30,1,0.6583,0.1623,40.2698,55.0262,9.2846,0.9691,51.6,2.05
ExtraTrees,WTI,30,30,2.6922,0.9613,161.6266,229.3273,64.9344,0.456,49.51,2.77
ExtraTrees,WTI,120,1,0.6586,0.1629,40.2885,55.0556,9.2997,0.9691,52.16,2.0
ExtraTrees,WTI,120,30,2.6953,0.9606,161.6751,229.9675,65.4781,0.4527,49.82,2.04
ExtraTrees,STI,30,1,0.6603,0.164,40.3633,55.2592,9.4941,0.969,52.82,2.28
ExtraTrees,STI,30,30,2.7223,0.9935,163.0034,230.6041,66.166,0.4538,49.15,2.74
ExtraTrees,STI,120,1,0.6594,0.1643,40.326,55.1656,9.4436,0.9691,53.89,1.38
ExtraTrees,STI,120,30,2.718,0.9792,162.8078,231.1363,66.2208,0.4501,49.77,2.06
XGBoost,None,30,1,0.6978,0.1766,42.6344,58.2078,9.3387,0.9641,51.76,1.0
XGBoost,None,30,30,3.0103,1.0734,181.0268,250.1482,64.7691,0.3529,48.69,1.39
XGBoost,None,120,1,0.6999,0.1649,42.8856,57.8749,9.0561,0.9643,50.18,1.75
XGBoost,None,120,30,3.0353,0.9354,183.6996,253.0756,55.6989,0.2982,49.1,2.45
XGBoost,BI_Rate,30,1,0.7158,0.1729,43.774,58.7582,9.3021,0.9643,49.06,2.34
XGBoost,BI_Rate,30,30,2.9404,1.0063,177.4792,245.1615,64.8731,0.4009,49.0,1.85
XGBoost,BI_Rate,120,1,0.6995,0.1703,42.8134,58.1124,9.4159,0.9645,51.35,2.22
XGBoost,BI_Rate,120,30,3.1236,1.0437,187.5447,252.609,69.5673,0.4081,47.87,1.27
XGBoost,CPI,30,1,0.7114,0.1731,43.5349,58.7213,8.7548,0.9633,51.35,1.66
XGBoost,CPI,30,30,2.8784,0.9492,173.3607,246.0434,62.3421,0.3973,49.36,1.21
XGBoost,CPI,120,1,0.6995,0.1672,42.8824,57.9959,8.713,0.9637,50.48,2.17
XGBoost,CPI,120,30,2.8867,0.9394,172.936,242.0289,65.859,0.3862,49.15,2.31
XGBoost,M2,30,1,0.7125,0.1802,43.5612,58.8181,9.4858,0.9645,51.04,1.98
XGBoost,M2,30,30,3.0844,1.0428,186.6767,258.6273,64.2142,0.255,49.05,1.81
XGBoost,M2,120,1,0.7031,0.1655,43.1021,58.3289,8.8795,0.9636,50.94,2.83
XGBoost,M2,120,30,2.9722,0.9613,179.3108,248.8445,56.3944,0.3654,49.61,3.13
XGBoost,NPL_Ratio,30,1,0.7109,0.171,43.4423,58.6666,8.9141,0.9635,50.33,1.79
XGBoost,NPL_Ratio,30,30,3.0443,1.1175,183.1765,256.6383,66.6438,0.2943,49.2,1.39
XGBoost,NPL_Ratio,120,1,0.7053,0.1684,43.1642,58.1799,9.0189,0.9638,51.15,3.94
XGBoost,NPL_Ratio,120,30,3.0511,0.9097,183.2421,252.5703,57.9034,0.3119,49.67,1.97
XGBoost,USDIDR,30,1,0.7031,0.1671,43.0089,58.3347,8.574,0.9646,51.15,2.34
XGBoost,USDIDR,30,30,2.8142,0.9536,169.7894,240.8618,69.1489,0.4055,48.69,1.81
XGBoost,USDIDR,120,1,0.6954,0.157,42.6774,57.7149,8.4041,0.9639,52.93,4.11
XGBoost,USDIDR,120,30,3.0645,1.1144,184.1983,250.3131,71.7426,0.3578,49.31,1.14
XGBoost,GDP,30,1,0.7109,0.1807,43.4311,58.8126,9.3978,0.9636,50.59,2.79
XGBoost,GDP,30,30,3.0322,0.9235,183.3067,261.3035,59.2832,0.2279,49.67,1.12
XGBoost,GDP,120,1,0.6977,0.1605,42.7885,57.5709,8.6965,0.9643,51.15,3.15
XGBoost,GDP,120,30,3.0155,0.9232,182.3107,252.3805,58.6144,0.2291,49.15,1.78
XGBoost,US_Treasury_10Y,30,1,0.7193,0.1518,44.2243,59.3437,7.7576,0.9611,51.7,1.84
XGBoost,US_Treasury_10Y,30,30,3.351,0.9925,201.7706,293.7411,56.0074,0.0025,49.51,1.13
XGBoost,US_Treasury_10Y,120,1,0.7361,0.1418,45.4048,60.751,6.5624,0.9565,48.5,2.54
XGBoost,US_Treasury_10Y,120,30,3.3723,0.7247,206.6924,303.2426,39.036,-0.2377,49.1,2.76
XGBoost,Coal,30,1,0.7251,0.1703,44.4297,59.4395,8.6605,0.9631,50.13,2.32
XGBoost,Coal,30,30,3.0757,0.9875,185.7472,252.9526,58.3766,0.3207,47.97,1.75
XGBoost,Coal,120,1,0.72,0.1664,44.1595,59.168,8.2649,0.9616,48.14,1.65
XGBoost,Coal,120,30,3.3127,0.8774,201.9487,281.3805,47.5676,0.063,47.97,1.66
XGBoost,Copper,30,1,0.7098,0.1801,43.3951,58.4415,9.647,0.9656,52.06,2.14
XGBoost,Copper,30,30,3.0123,0.9939,181.303,256.5029,63.0643,0.3297,50.13,2.22
XGBoost,Copper,120,1,0.7108,0.1775,43.5126,58.0324,9.4015,0.9655,49.11,1.52
XGBoost,Copper,120,30,3.0313,1.0508,182.5368,251.845,64.6425,0.4144,48.95,2.15
XGBoost,Nickel,30,1,0.7125,0.1693,43.5587,58.616,8.7246,0.9634,50.48,1.88
XGBoost,Nickel,30,30,3.0204,0.8255,184.4178,255.3372,48.9983,0.1518,50.18,2.6
XGBoost,Nickel,120,1,0.7039,0.1627,43.1697,57.8617,8.4926,0.9641,49.62,2.14
XGBoost,Nickel,120,30,3.2723,0.7754,199.512,280.7213,48.584,-0.1113,49.31,1.39
XGBoost,Silver,30,1,0.7102,0.1651,43.5777,58.1967,8.6674,0.9649,50.84,2.75
XGBoost,Silver,30,30,3.0939,1.152,186.8188,250.2902,68.1053,0.27,49.15,2.68
XGBoost,Silver,120,1,0.7071,0.1629,43.3701,58.5379,8.8906,0.9632,49.77,3.78
XGBoost,Silver,120,30,2.9648,0.9042,178.7592,248.7986,62.7178,0.3115,49.46,1.42
XGBoost,Tin,30,1,0.7144,0.1648,43.8278,59.2251,8.5574,0.963,50.53,0.77
XGBoost,Tin,30,30,3.1803,0.7368,194.2261,274.5574,40.3181,0.0083,48.69,2.5
XGBoost,Tin,120,1,0.7153,0.154,43.9917,59.4541,7.4505,0.9612,50.64,1.54
XGBoost,Tin,120,30,3.1013,0.8635,187.3964,261.2929,55.5566,0.1714,48.07,3.0
XGBoost,Gold,30,1,0.7043,0.1697,43.082,57.9044,9.3224,0.9649,50.74,2.02
XGBoost,Gold,30,30,3.1624,1.112,190.4971,264.4363,64.4821,0.2173,48.33,2.1
XGBoost,Gold,120,1,0.7036,0.1631,43.1321,58.2398,8.1074,0.9631,51.2,1.95
XGBoost,Gold,120,30,2.8336,0.9861,169.426,242.7439,67.7082,0.3702,48.64,2.12
XGBoost,WTI,30,1,0.7056,0.1768,43.0781,58.7301,9.721,0.9652,51.35,3.77
XGBoost,WTI,30,30,2.9842,0.9953,180.5005,248.5944,59.7153,0.2702,48.74,0.58
XGBoost,WTI,120,1,0.7062,0.1654,43.3003,58.0823,8.7937,0.965,49.92,0.94
XGBoost,WTI,120,30,3.0517,1.1307,183.0811,254.4422,75.6502,0.2713,48.89,2.4
XGBoost,STI,30,1,0.704,0.1717,43.0488,58.1261,9.0003,0.9649,50.59,1.63
XGBoost,STI,30,30,3.0986,1.0915,185.734,266.4706,72.1448,0.321,49.87,1.11
XGBoost,STI,120,1,0.7039,0.1707,43.1228,58.0247,8.8564,0.9652,50.48,2.51
XGBoost,STI,120,30,3.0697,1.1224,183.0849,250.9285,68.336,0.457,49.51,1.42
LightGBM,None,30,1,0.7177,0.1772,43.908,58.9579,9.0048,0.9642,49.36,1.65
LightGBM,None,30,30,2.9741,1.0193,179.0793,255.1753,60.8209,0.2717,49.41,1.29
LightGBM,None,120,1,0.7043,0.1721,43.1054,57.8893,9.1775,0.9651,50.59,2.08
LightGBM,None,120,30,3.034,0.8658,183.7768,257.7041,55.293,0.3056,49.05,1.23
LightGBM,BI_Rate,30,1,0.7148,0.1787,43.7163,58.9898,8.8366,0.9637,50.59,2.32
LightGBM,BI_Rate,30,30,2.993,1.0026,180.3916,252.5066,61.8644,0.3529,49.31,1.48
LightGBM,BI_Rate,120,1,0.7066,0.17,43.2537,58.068,8.8969,0.9642,50.94,2.03
LightGBM,BI_Rate,120,30,2.972,0.9114,179.6395,252.4263,59.3018,0.3342,49.31,2.63
LightGBM,CPI,30,1,0.7261,0.1735,44.4559,59.4511,8.5867,0.9629,48.75,1.51
LightGBM,CPI,30,30,2.9779,0.9756,179.5809,250.4556,55.1737,0.339,49.77,1.65
LightGBM,CPI,120,1,0.7074,0.1751,43.3069,58.1391,9.3032,0.9645,51.5,2.3
LightGBM,CPI,120,30,3.0255,0.7908,182.9878,251.2674,54.7975,0.3408,48.23,1.86
LightGBM,M2,30,1,0.7171,0.1769,43.8594,59.1754,9.1572,0.9635,50.99,2.61
LightGBM,M2,30,30,2.9368,1.0282,176.9434,247.563,63.8742,0.3626,49.77,0.88
LightGBM,M2,120,1,0.7011,0.1685,42.9352,57.8953,9.2137,0.9651,51.86,1.83
LightGBM,M2,120,30,3.0337,0.8836,183.1814,251.0087,54.8625,0.3354,48.48,1.17
LightGBM,NPL_Ratio,30,1,0.7155,0.1725,43.7528,58.955,8.6377,0.9631,50.03,2.1
LightGBM,NPL_Ratio,30,30,3.0665,0.9805,185.7457,258.3523,55.8627,0.2225,49.31,1.88
LightGBM,NPL_Ratio,120,1,0.7084,0.1658,43.4195,58.5402,9.1429,0.9636,49.87,1.78
LightGBM,NPL_Ratio,120,30,3.0483,0.8479,184.4789,250.1128,52.5518,0.3107,48.07,2.0
LightGBM,USDIDR,30,1,0.6987,0.1662,42.7976,57.9596,8.3007,0.9643,52.98,0.49
LightGBM,USDIDR,30,30,2.902,1.0205,175.1703,245.3102,71.5876,0.377,48.95,3.08
LightGBM,USDIDR,120,1,0.7013,0.1619,43.0182,58.1337,8.1892,0.9635,51.04,3.18
LightGBM,USDIDR,120,30,3.02,0.9615,181.7654,254.0669,65.8029,0.3128,48.79,2.17
LightGBM,GDP,30,1,0.7235,0.1801,44.229,59.6377,8.846,0.962,49.67,1.45
LightGBM,GDP,30,30,2.9753,0.881,180.26,249.6299,54.9187,0.3266,49.41,1.52
LightGBM,GDP,120,1,0.7061,0.1738,43.2258,57.9914,9.0395,0.9644,50.59,2.26
LightGBM,GDP,120,30,3.0531,0.8203,185.1092,256.3752,53.8386,0.2272,48.84,1.33
LightGBM,US_Treasury_10Y,30,1,0.7264,0.1657,44.567,59.9629,8.6102,0.9614,50.84,2.5
LightGBM,US_Treasury_10Y,30,30,3.2109,0.6829,196.3736,282.4663,36.6668,0.0234,49.2,1.42
LightGBM,US_Treasury_10Y,120,1,0.7241,0.1316,44.6666,59.5422,6.5131,0.959,50.13,2.32
LightGBM,US_Treasury_10Y,120,30,3.2812,0.6803,200.9478,287.586,35.5482,-0.1266,48.53,1.03
LightGBM,Coal,30,1,0.7275,0.1631,44.6317,59.7179,8.2808,0.9617,50.28,2.86
LightGBM,Coal,30,30,3.2854,0.8742,201.4859,273.426,46.7232,0.1549,47.87,1.75
LightGBM,Coal,120,1,0.7187,0.1613,44.1283,58.7888,7.9526,0.9623,49.72,0.77
LightGBM,Coal,120,30,3.2532,0.742,198.2971,276.6559,42.1037,0.1203,47.92,2.26
LightGBM,Copper,30,1,0.7032,0.1706,43.0012,58.1679,8.7119,0.9646,51.15,2.28
LightGBM,Copper,30,30,2.9832,0.876,179.9073,255.0744,59.8265,0.2771,49.82,1.41
LightGBM,Copper,120,1,0.7118,0.1676,43.648,58.6008,8.8998,0.964,50.28,1.27
LightGBM,Copper,120,30,2.9957,0.7712,181.6788,254.7452,51.3253,0.2979,48.84,1.92
LightGBM,Nickel,30,1,0.7129,0.1638,43.6867,58.6779,8.4048,0.9631,48.65,2.56
LightGBM,Nickel,30,30,2.9852,0.8877,181.3493,250.7465,59.7697,0.2091,49.87,2.0
LightGBM,Nickel,120,1,0.7008,0.1597,43.021,57.6759,8.3157,0.9629,49.97,1.6
LightGBM,Nickel,120,30,3.2339,0.7338,197.9989,275.7052,44.7804,-0.0731,48.95,2.66
LightGBM,Silver,30,1,0.7099,0.168,43.549,57.9919,8.866,0.9651,50.53,1.77
LightGBM,Silver,30,30,3.0713,0.8773,186.4228,256.8926,51.9805,0.234,48.53,2.7
LightGBM,Silver,120,1,0.6987,0.1567,42.9596,57.5657,8.5872,0.9653,52.06,4.65
LightGBM,Silver,120,30,2.9572,0.7622,179.6352,251.3823,52.781,0.2135,49.2,1.72
LightGBM,Tin,30,1,0.7329,0.1535,45.0228,60.4914,7.1089,0.9596,50.18,2.83
LightGBM,Tin,30,30,3.1612,0.9397,191.7171,269.3004,60.1054,0.0481,47.92,2.26
