Model,Window,Horizon,Group,MAPE,Baseline_MAPE,MAPE_Impr_pct,MASE,MASE_Impr_pct,DA,DA_Impr_pp,HitLarge,HitLarge_Impr_pp,Wilcoxon_p,Significant
LightGBM,20,1,real_economy_id,0.702,0.7057,0.524,1.2351,0.483,52.16,0.05,50.92,-0.23,0.3125,False
LightGBM,20,1,All_Groups,0.7013,0.7057,0.623,1.2388,0.185,53.33,1.22,54.49,3.34,0.4062,False
LightGBM,20,5,risk_global,1.1956,1.1676,-2.398,2.0857,-2.27,50.8,-0.41,54.29,4.17,0.7812,False
LightGBM,20,5,commodity_id,1.1766,1.1676,-0.771,2.0605,-1.035,51.16,-0.05,52.49,2.37,0.5938,False
LightGBM,20,5,monetary_id,1.1912,1.1676,-2.021,2.0794,-1.961,50.59,-0.62,52.73,2.61,0.9375,False
LightGBM,20,5,real_economy_id,1.1657,1.1676,0.163,2.0314,0.392,50.03,-1.18,49.33,-0.79,0.4062,False
LightGBM,20,5,All_Groups,1.1971,1.1676,-2.527,2.0959,-2.77,50.49,-0.72,51.78,1.66,0.6875,False
LightGBM,20,20,risk_global,2.4587,2.3094,-6.465,4.2967,-6.886,49.66,-0.16,48.44,0.65,0.7812,False
LightGBM,20,20,commodity_id,2.4536,2.3094,-6.244,4.2975,-6.906,47.92,-1.9,44.63,-3.16,0.8438,False
LightGBM,20,20,monetary_id,2.3258,2.3094,-0.71,4.0527,-0.816,49.45,-0.37,47.33,-0.46,0.5938,False
LightGBM,20,20,real_economy_id,2.4104,2.3094,-4.373,4.2086,-4.694,48.02,-1.8,47.16,-0.63,1.0,False
LightGBM,20,20,All_Groups,2.5271,2.3094,-9.427,4.4215,-9.99,48.81,-1.01,49.18,1.39,0.9062,False
LightGBM,120,1,risk_global,0.7078,0.7043,-0.497,1.2491,-0.766,50.28,-0.31,52.8,1.96,0.6875,False
LightGBM,120,1,commodity_id,0.7212,0.7043,-2.4,1.2746,-2.823,48.96,-1.63,48.7,-2.14,0.8438,False
LightGBM,120,1,monetary_id,0.7013,0.7043,0.426,1.234,0.452,50.43,-0.16,48.28,-2.56,0.0938,False
LightGBM,120,1,real_economy_id,0.7098,0.7043,-0.781,1.2506,-0.887,50.84,0.25,50.36,-0.48,0.8438,False
LightGBM,120,1,All_Groups,0.7006,0.7043,0.525,1.2379,0.137,51.4,0.81,56.73,5.89,0.4062,False
LightGBM,120,5,risk_global,1.2251,1.1848,-3.401,2.1409,-3.766,49.61,-0.26,50.41,1.12,0.7812,False
LightGBM,120,5,commodity_id,1.1893,1.1848,-0.38,2.0837,-0.994,49.87,0.0,53.08,3.79,0.4062,False
LightGBM,120,5,monetary_id,1.1711,1.1848,1.156,2.0402,1.115,49.97,0.1,49.85,0.56,0.1562,False
LightGBM,120,5,real_economy_id,1.1898,1.1848,-0.422,2.076,-0.62,49.61,-0.26,49.1,-0.19,0.6875,False
LightGBM,120,5,All_Groups,1.2117,1.1848,-2.27,2.1229,-2.894,48.84,-1.03,51.67,2.38,0.6875,False
LightGBM,120,20,risk_global,2.4306,2.3944,-1.512,4.2145,-1.846,49.13,0.58,48.11,1.43,0.6875,False
LightGBM,120,20,commodity_id,2.6133,2.3944,-9.142,4.5769,-10.604,47.65,-0.9,46.44,-0.24,0.9062,False
LightGBM,120,20,monetary_id,2.2423,2.3944,6.352,3.8756,6.343,49.82,1.27,49.0,2.32,0.2188,False
LightGBM,120,20,real_economy_id,2.3906,2.3944,0.159,4.1464,-0.201,49.23,0.68,46.49,-0.19,0.3125,False
LightGBM,120,20,All_Groups,2.6394,2.3944,-10.232,4.6142,-11.505,47.02,-1.53,48.34,1.66,0.9375,False
