Model,Covariates,Window,Horizon,mape_mean,mape_std,da_mean,mase_mean,n_folds
ExtraTrees,Silver,20,1,0.63752,0.15226173846373883,53.553999999999995,1.1141400000000001,5
ExtraTrees,Silver,20,5,1.0464,0.259266243464127,51.40599999999999,1.8313400000000002,5
ExtraTrees,Silver,20,20,2.00816,0.5554903446505619,49.604,3.50594,5
ExtraTrees,Silver,120,1,0.63702,0.1506860046586942,53.248000000000005,1.11332,5
ExtraTrees,Silver,120,5,1.0409599999999999,0.2560487316898875,51.40599999999999,1.8233800000000002,5
ExtraTrees,Silver,120,20,2.0190200000000003,0.5754166638184889,49.394,3.52136,5
ExtraTrees,Tin,20,1,0.63838,0.15202602408798305,51.958000000000006,1.1155599999999999,5
ExtraTrees,Tin,20,5,1.04346,0.25737600509760034,50.522000000000006,1.8272000000000002,5
ExtraTrees,Tin,20,20,2.02536,0.5584441404473685,49.446,3.53592,5
ExtraTrees,Tin,120,1,0.6384000000000001,0.15135139576495485,50.414,1.11572,5
ExtraTrees,Tin,120,5,1.03904,0.25245885407329255,50.572,1.8206600000000002,5
ExtraTrees,Tin,120,20,2.0264800000000003,0.5625567989101189,49.392,3.53672,5
ExtraTrees,USDIDR,20,1,0.63796,0.1510681402546546,51.65,1.11482,5
ExtraTrees,USDIDR,20,5,1.04418,0.2572514470318874,50.782,1.82744,5
ExtraTrees,USDIDR,20,20,2.0145600000000004,0.5621799249350694,49.762,3.5147999999999997,5
ExtraTrees,USDIDR,120,1,0.6388,0.1530726624841941,51.132,1.1160599999999998,5
ExtraTrees,USDIDR,120,5,1.03978,0.2558079005816669,50.938,1.8209,5
ExtraTrees,USDIDR,120,20,2.01834,0.5726394703476176,49.55,3.51984,5
ExtraTrees,US_Treasury_10Y,20,1,0.6392,0.14979289035197899,49.327999999999996,1.11728,5
ExtraTrees,US_Treasury_10Y,20,5,1.0438,0.24749322212941519,50.416000000000004,1.8292000000000002,5
ExtraTrees,US_Treasury_10Y,20,20,2.00902,0.5484668877881328,49.868,3.50828,5
ExtraTrees,US_Treasury_10Y,120,1,0.63744,0.14995543671371175,51.598,1.11422,5
ExtraTrees,US_Treasury_10Y,120,5,1.0435400000000001,0.2486845451571126,50.262,1.82892,5
ExtraTrees,US_Treasury_10Y,120,20,2.03038,0.5624861793857694,49.606,3.54268,5
ExtraTrees,WTI,20,1,0.63828,0.15155649771619828,50.826,1.1153400000000002,5
ExtraTrees,WTI,20,5,1.0499800000000001,0.2628722351257355,50.730000000000004,1.8351600000000001,5
ExtraTrees,WTI,20,20,2.01094,0.5584268645042069,49.815999999999995,3.5096600000000002,5
ExtraTrees,WTI,120,1,0.63802,0.15186674092769617,51.702,1.1148399999999998,5
ExtraTrees,WTI,120,5,1.04162,0.25668389509277745,50.938,1.8235,5
ExtraTrees,WTI,120,20,2.02266,0.5784166344426829,49.604,3.5269,5
LightGBM,All_Commodity_STI,20,1,0.68134,0.13505346348761288,53.814,1.1941000000000002,5
LightGBM,All_Commodity_STI,20,5,1.13498,0.25422323261259966,51.926,1.9881199999999999,5
LightGBM,All_Commodity_STI,20,20,2.41932,0.6293846653676907,49.342,4.23954,5
LightGBM,All_Commodity_STI,120,1,0.6891,0.1419732016966582,50.412,1.20708,5
LightGBM,All_Commodity_STI,120,5,1.1192600000000001,0.26113367841012,51.822,1.95738,5
LightGBM,All_Commodity_STI,120,20,2.3416799999999998,0.5337577887019542,49.077999999999996,4.1129999999999995,5
LightGBM,All_Covariates,20,1,0.68348,0.1299995269222161,53.09400000000001,1.1988400000000001,5
LightGBM,All_Covariates,20,5,1.16298,0.2111112431870932,50.208000000000006,2.0438400000000003,5
LightGBM,All_Covariates,20,20,2.4634799999999997,0.5585706821880285,48.022,4.33356,5
LightGBM,All_Covariates,120,1,0.68792,0.1295746194283434,51.082,1.20678,5
LightGBM,All_Covariates,120,5,1.17258,0.18715420647156186,50.052,2.06636,5
LightGBM,All_Covariates,120,20,2.2942,0.45568199986394015,51.398,4.05486,5
LightGBM,All_Macro_no_UST,20,1,0.68406,0.1407060517532917,51.858000000000004,1.19796,5
LightGBM,All_Macro_no_UST,20,5,1.1448,0.25658034803936164,50.208,2.00822,5
LightGBM,All_Macro_no_UST,20,20,2.1970400000000003,0.6937211565175162,49.342,3.81614,5
LightGBM,All_Macro_no_UST,120,1,0.69042,0.1567632354858753,50.308,1.20786,5
LightGBM,All_Macro_no_UST,120,5,1.14306,0.2836602598179732,51.198,2.00706,5
LightGBM,All_Macro_no_UST,120,20,2.17722,0.6067818240521052,50.238,3.8116399999999997,5
LightGBM,BI_Rate,20,1,0.6911400000000001,0.16718880943412448,51.751999999999995,1.2068400000000001,5
LightGBM,BI_Rate,20,5,1.13954,0.2690927776808587,49.896,2.0015799999999997,5
LightGBM,BI_Rate,20,20,2.22546,0.6368186146776803,51.239999999999995,3.877,5
LightGBM,BI_Rate,120,1,0.68726,0.1676762296808942,51.6,1.20176,5
LightGBM,BI_Rate,120,5,1.12318,0.3257935189656172,50.78,1.96442,5
LightGBM,BI_Rate,120,20,2.17962,0.531890432326057,50.660000000000004,3.82256,5
LightGBM,Baseline,20,1,0.6873400000000001,0.17067093484246226,52.164,1.19984,5
LightGBM,Baseline,20,5,1.14446,0.25836569625242445,50.676,2.01028,5
LightGBM,Baseline,20,20,2.19954,0.6629693567579121,50.712,3.82526,5
LightGBM,Baseline,120,1,0.68718,0.16844790589378072,50.566,1.20148,5
LightGBM,Baseline,120,5,1.13364,0.3180985271892972,51.976,1.9830999999999999,5
LightGBM,Baseline,120,20,2.1481000000000003,0.5651476886619992,50.87,3.76254,5
