Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,Improvement_pct,Passed
ExtraTrees,120,1,CPI,0.659,0.6599,0.136,False
ExtraTrees,120,1,M2,0.6597,0.6599,0.03,False
ExtraTrees,120,1,NPL_Ratio,0.6593,0.6599,0.091,False
ExtraTrees,120,1,USDIDR,0.6601,0.6599,-0.03,False
ExtraTrees,120,1,GDP,0.6587,0.6599,0.182,False
ExtraTrees,120,1,US_Treasury_10Y,0.6597,0.6599,0.03,False
ExtraTrees,120,1,Coal,0.6603,0.6599,-0.061,False
ExtraTrees,120,1,Copper,0.659,0.6599,0.136,False
ExtraTrees,120,1,Nickel,0.6599,0.6599,0.0,False
ExtraTrees,120,1,Silver,0.6586,0.6599,0.197,False
ExtraTrees,120,1,Tin,0.6592,0.6599,0.106,False
ExtraTrees,120,1,Gold,0.659,0.6599,0.136,False
ExtraTrees,120,1,WTI,0.6586,0.6599,0.197,False
ExtraTrees,120,1,STI,0.6594,0.6599,0.076,False
ExtraTrees,120,5,BI_Rate,1.0843,1.0869,0.239,False
ExtraTrees,120,5,CPI,1.0845,1.0869,0.221,False
ExtraTrees,120,5,M2,1.0826,1.0869,0.396,True
ExtraTrees,120,5,NPL_Ratio,1.0829,1.0869,0.368,True
ExtraTrees,120,5,USDIDR,1.0872,1.0869,-0.028,False
ExtraTrees,120,5,GDP,1.0857,1.0869,0.11,False
ExtraTrees,120,5,US_Treasury_10Y,1.0872,1.0869,-0.028,False
ExtraTrees,120,5,Coal,1.0862,1.0869,0.064,False
ExtraTrees,120,5,Copper,1.0861,1.0869,0.074,False
ExtraTrees,120,5,Nickel,1.0842,1.0869,0.248,False
ExtraTrees,120,5,Silver,1.0863,1.0869,0.055,False
ExtraTrees,120,5,Tin,1.0839,1.0869,0.276,False
ExtraTrees,120,5,Gold,1.0848,1.0869,0.193,False
ExtraTrees,120,5,WTI,1.0849,1.0869,0.184,False
ExtraTrees,120,5,STI,1.086,1.0869,0.083,False
ExtraTrees,120,20,BI_Rate,2.1017,2.1053,0.171,False
ExtraTrees,120,20,CPI,2.103,2.1053,0.109,False
ExtraTrees,120,20,M2,2.1071,2.1053,-0.085,False
ExtraTrees,120,20,NPL_Ratio,2.1004,2.1053,0.233,False
ExtraTrees,120,20,USDIDR,2.1056,2.1053,-0.014,False
ExtraTrees,120,20,GDP,2.1011,2.1053,0.199,False
ExtraTrees,120,20,US_Treasury_10Y,2.1053,2.1053,0.0,False
ExtraTrees,120,20,Coal,2.1068,2.1053,-0.071,False
ExtraTrees,120,20,Copper,2.1008,2.1053,0.214,False
ExtraTrees,120,20,Nickel,2.1055,2.1053,-0.009,False
ExtraTrees,120,20,Silver,2.1043,2.1053,0.047,False
ExtraTrees,120,20,Tin,2.1038,2.1053,0.071,False
ExtraTrees,120,20,Gold,2.1,2.1053,0.252,False
ExtraTrees,120,20,WTI,2.1005,2.1053,0.228,False
ExtraTrees,120,20,STI,2.11,2.1053,-0.223,False
XGBoost,20,1,BI_Rate,0.7049,0.7096,0.662,True
XGBoost,20,1,CPI,0.701,0.7096,1.212,True
XGBoost,20,1,M2,0.7068,0.7096,0.395,True
XGBoost,20,1,NPL_Ratio,0.7037,0.7096,0.831,True
XGBoost,20,1,USDIDR,0.7021,0.7096,1.057,True
XGBoost,20,1,GDP,0.7004,0.7096,1.297,True
XGBoost,20,1,US_Treasury_10Y,0.7132,0.7096,-0.507,False
XGBoost,20,1,Coal,0.7107,0.7096,-0.155,False
XGBoost,20,1,Copper,0.7026,0.7096,0.986,True
XGBoost,20,1,Nickel,0.7142,0.7096,-0.648,False
XGBoost,20,1,Silver,0.7038,0.7096,0.817,True
XGBoost,20,1,Tin,0.7144,0.7096,-0.676,False
XGBoost,20,1,Gold,0.6933,0.7096,2.297,True
XGBoost,20,1,WTI,0.7043,0.7096,0.747,True
XGBoost,20,1,STI,0.7001,0.7096,1.339,True
XGBoost,20,5,BI_Rate,1.1619,1.1688,0.59,True
XGBoost,20,5,CPI,1.1562,1.1688,1.078,True
XGBoost,20,5,M2,1.1863,1.1688,-1.497,False
XGBoost,20,5,NPL_Ratio,1.1591,1.1688,0.83,True
XGBoost,20,5,USDIDR,1.1653,1.1688,0.299,False
