Model,Window,Horizon,Covariate,MAPE,Baseline_MAPE,MAPE_Impr_pct,DA,Baseline_DA,DA_Impr_pp,Consistency,MASE,hit_large,Passed_MAPE,Passed_DA,Passed_Any,Passed_Both
XGBoost,20,1,GDP,0.503,0.5044,0.278,54.18,54.75,-0.57,0.0028,0.9664,52.55,False,False,False,False
XGBoost,20,1,US_Treasury_10Y,0.5076,0.5044,-0.634,51.33,54.75,-3.42,-0.0063,0.9754,52.55,False,False,False,False
XGBoost,20,1,Coal,0.5029,0.5044,0.297,53.61,54.75,-1.14,0.003,0.9662,49.64,False,False,False,False
XGBoost,20,1,Copper,0.5061,0.5044,-0.337,53.8,54.75,-0.95,-0.0034,0.9721,56.93,False,False,False,False
XGBoost,20,1,Nickel,0.51,0.5044,-1.11,49.43,54.75,-5.32,-0.011,0.9797,48.91,False,False,False,False
XGBoost,20,1,Silver,0.5022,0.5044,0.436,55.7,54.75,0.95,0.0044,0.965,54.74,True,False,True,False
XGBoost,20,1,Tin,0.5058,0.5044,-0.278,51.33,54.75,-3.42,-0.0028,0.9715,55.47,False,False,False,False
XGBoost,20,1,Gold,0.5055,0.5044,-0.218,53.04,54.75,-1.71,-0.0022,0.9711,48.91,False,False,False,False
XGBoost,20,1,WTI,0.5048,0.5044,-0.079,53.42,54.75,-1.33,-0.0008,0.9698,56.2,False,False,False,False
XGBoost,20,1,STI,0.5044,0.5044,0.0,53.42,54.75,-1.33,0.0,0.9689,48.18,False,False,False,False
XGBoost,20,5,BI_Rate,0.8549,0.8525,-0.282,47.71,47.33,0.38,-0.0028,1.642,51.82,False,False,False,False
XGBoost,20,5,CPI,0.8524,0.8525,0.012,48.85,47.33,1.52,0.0001,1.6373,53.28,False,True,True,False
XGBoost,20,5,M2,0.852,0.8525,0.059,48.09,47.33,0.76,0.0006,1.6365,54.01,False,False,False,False
XGBoost,20,5,NPL_Ratio,0.8503,0.8525,0.258,49.05,47.33,1.72,0.0026,1.6333,56.2,False,True,True,False
XGBoost,20,5,USDIDR,0.8513,0.8525,0.141,48.47,47.33,1.14,0.0014,1.6346,54.01,False,True,True,False
XGBoost,20,5,GDP,0.8523,0.8525,0.023,47.9,47.33,0.57,0.0002,1.6371,54.01,False,False,False,False
XGBoost,20,5,US_Treasury_10Y,0.8583,0.8525,-0.68,46.56,47.33,-0.77,-0.0068,1.6492,54.01,False,False,False,False
XGBoost,20,5,Coal,0.8414,0.8525,1.302,49.24,47.33,1.91,0.0132,1.6164,54.74,True,True,True,True
XGBoost,20,5,Copper,0.8556,0.8525,-0.364,47.52,47.33,0.19,-0.0036,1.6445,54.74,False,False,False,False
XGBoost,20,5,Nickel,0.8475,0.8525,0.587,48.09,47.33,0.76,0.0059,1.6292,53.28,True,False,True,False
XGBoost,20,5,Silver,0.8442,0.8525,0.974,48.66,47.33,1.33,0.0098,1.6209,54.74,True,True,True,True
XGBoost,20,5,Tin,0.8535,0.8525,-0.117,47.14,47.33,-0.19,-0.0012,1.6398,55.47,False,False,False,False
XGBoost,20,5,Gold,0.8423,0.8525,1.196,48.09,47.33,0.76,0.0121,1.6175,56.93,True,False,True,False
XGBoost,20,5,WTI,0.858,0.8525,-0.645,48.09,47.33,0.76,-0.0064,1.6481,54.74,False,False,False,False
