feature,importance,covariate_set,scenario
GDP_lag_27,0.001498763159908123,Macro_Regional,W120_H1
GDP_lag_19,0.0014801840917923594,Macro_Regional,W120_H1
BI_Rate_lag_22,0.0014766603851051668,Macro_Regional,W120_H1
US_Treasury_10Y_lag_16,0.0014711347933355947,Macro_Regional,W120_H1
BI_Rate_lag_64,0.001467710611317668,Macro_Regional,W120_H1
USDIDR_lag_100,0.0014653331254787705,Macro_Regional,W120_H1
US_Treasury_10Y_lag_105,0.0014641959856927578,Macro_Regional,W120_H1
US_Treasury_10Y_lag_44,0.0014614635798196292,Macro_Regional,W120_H1
USDIDR_lag_70,0.0014614234663883911,Macro_Regional,W120_H1
US_Treasury_10Y_lag_32,0.0014612327239842085,Macro_Regional,W120_H1
GDP_lag_82,0.0014586729944436512,Macro_Regional,W120_H1
USDIDR_lag_48,0.001453129754489534,Macro_Regional,W120_H1
BI_Rate_lag_82,0.001449084310626278,Macro_Regional,W120_H1
US_Treasury_10Y_lag_98,0.0014456280082674516,Macro_Regional,W120_H1
BI_Rate_lag_74,0.0014355059836323805,Macro_Regional,W120_H1
US_Treasury_10Y_lag_90,0.001435140575026099,Macro_Regional,W120_H1
US_Treasury_10Y_lag_118,0.0014339523359549419,Macro_Regional,W120_H1
IHSG_lag_64,0.0014339209442214753,Macro_Regional,W120_H1
US_Treasury_10Y_lag_12,0.001429600498853856,Macro_Regional,W120_H1
IHSG_lag_106,0.0014208063515122333,Macro_Regional,W120_H1
BI_Rate_lag_52,0.0014154322529417811,Macro_Regional,W120_H1
IHSG_lag_33,0.0014138099477731744,Macro_Regional,W120_H1
IHSG_lag_79,0.0014109090677833559,Macro_Regional,W120_H1
NPL_Ratio_lag_36,0.0014091259800261202,Macro_Regional,W120_H1
NPL_Ratio_lag_80,0.0014076329288174685,Macro_Regional,W120_H1
USDIDR_lag_79,0.001404418252903388,Macro_Regional,W120_H1
IHSG_lag_72,0.0014026905647850267,Macro_Regional,W120_H1
BI_Rate_lag_16,0.0013972032614090163,Macro_Regional,W120_H1
US_Treasury_10Y_lag_81,0.0013904279850316783,Macro_Regional,W120_H1
US_Treasury_10Y_lag_15,0.0013881544076215623,Macro_Regional,W120_H1
NPL_Ratio_lag_107,0.0013879790844199215,Macro_Regional,W120_H1
CPI_lag_12,0.0013857507981378503,Macro_Regional,W120_H1
NPL_Ratio_lag_23,0.0013830235720908163,Macro_Regional,W120_H1
BI_Rate_lag_31,0.001380292431093965,Macro_Regional,W120_H1
CPI_lag_16,0.0013718153634042908,Macro_Regional,W120_H1
US_Treasury_10Y_lag_6,0.001349747740324754,Macro_Regional,W120_H1
NPL_Ratio_lag_84,0.001344836760403316,Macro_Regional,W120_H1
NPL_Ratio_lag_16,0.0013376355292627296,Macro_Regional,W120_H1
IHSG_lag_44,0.0013362872494935489,Macro_Regional,W120_H1
USDIDR_lag_40,0.0013281133478274985,Macro_Regional,W120_H1
IHSG_lag_92,0.001322327491755125,Macro_Regional,W120_H1
US_Treasury_10Y_lag_58,0.0013211277323579855,Macro_Regional,W120_H1
IHSG_lag_51,0.0013129513608298455,Macro_Regional,W120_H1
GDP_lag_50,0.0013104047642271482,Macro_Regional,W120_H1
GDP_lag_120,0.0013051979624044792,Macro_Regional,W120_H1
CPI_lag_58,0.001305180783586891,Macro_Regional,W120_H1
IHSG_lag_103,0.0013016055693942524,Macro_Regional,W120_H1
IHSG_lag_87,0.0012888929250939414,Macro_Regional,W120_H1
M2_lag_88,0.0012676006487530541,Macro_Regional,W120_H1
IHSG_lag_57,0.001267045572406885,Macro_Regional,W120_H1
CPI_lag_113,0.0012638961096459378,Macro_Regional,W120_H1
M2_lag_80,0.0012628712070768577,Macro_Regional,W120_H1
BI_Rate_lag_4,0.00125878899744413,Macro_Regional,W120_H1
US_Treasury_10Y_lag_108,0.0012566488226730768,Macro_Regional,W120_H1
USDIDR_lag_56,0.0012482323465546378,Macro_Regional,W120_H1
USDIDR_lag_84,0.001238535676692631,Macro_Regional,W120_H1
IHSG_lag_85,0.0012385289063544206,Macro_Regional,W120_H1
USDIDR_lag_90,0.0012322172803110611,Macro_Regional,W120_H1
IHSG_lag_90,0.0012299427555145788,Macro_Regional,W120_H1
USDIDR_lag_35,0.0012217906458081914,Macro_Regional,W120_H1
